intent,document
자존감저하,그런데…요즘 들어 나 자신에게 회의감이 들어.
자존감저하,제가 세상에서 제일 무가치한 사람 같아요.
자존감저하,그러니까 점점 제 자신이 별 거 아닌 것 같고 그랬어요.
자존감저하,진짜 자존감이 바닥을 친다… 나 따위는 별 것도 아닌 것 같아.
자존감저하,나 따위는 별 거 아닌 것 같고 내가 너무 작게 느껴져.
자존감저하,그 친구가 못해주거나 그런게 아니에요..자존감이 너무 낮아서 그런 것 같아요.
자존감저하,"그게 다 무슨 소용이 있을까, 그냥 내가 멍청한 건데 이런 생각 들고."
자존감저하,자존감도 엄청 떨어지고… 내가 진짜 쓰레기 같고...
자존감저하,그걸 직접 확인하고 나니까 더 자존심 상하고…
자존감저하,자존감이 엄청 낮아요.
자존감저하,자존감도 되게 낮구.
절망,"그만둘까도 생각했는데, 당장 대출에 카드값에… 생각하면 더 절망스러워."
절망,전 제가 세상에서 제일 불행한 것 같아요.
절망,나에게 더 이상 자유는 없는 걸까요?
절망,너무 절망적이네요.
절망,손쓸 방도도 없었어요. 그냥… 세상이 다 무너진 것 같더라구요.
절망,따갑고 가렵고… 아기는 아기대로 보채고… 정말 행복하다는 감정이 하나도 안 들어요.
절망,사람 취급 못 받고 사는 거 같아.
절망,점점 바보가 되는 기분이에요.
절망,아무도 날 이해해주지 않아.
절망,이 상황에서 벗어나고 싶어.
절망,너무 절망적입니다.
절망,나에게 희망이라는게 있는걸까?
절망,아무래도 저는 이런 상황에서 못 벗어날 것 같아요. 평생 이러고 살겠죠.
절망,다음 주면 이제 학교도 가야 하는데 그냥 내 인생이 다 꼬인 것 같고…
절망,그 얘기 듣자마자 진짜 세상이 무너지는 것 같더라.
절망,그 오빠 때문에 인생이 다 꼬여버린 것 같아요.
절망,근데 그게 무너지니까… 그냥 세상이 무너진 것 같았어요.
절망,이게 사는 건가 싶어.
죄책감,"그런 소릴 들으면 아, 내가 충분히 할 수 있는 일인데… 내가 너무 게으르다. 하면서 죄책감이 들어요."
죄책감,좋기도 했는데… 굉장히 죄책감이 들었어요.
죄책감,괜히 사람 마음 찔리게.
죄책감,내가 직접 돌보지 못해서 아들이 엇나가는걸까?
죄책감,상황이 불리해질 때 마다 제 능력을 탓하게 돼요.
죄책감,내 자식 버린 죄를 받는 것 같이 죄책감이 들어요.
초조,사람이 언제 홱 바뀔지 모르니까 항상 초조하지. 
초조,일도 다시 시작하고 싶고… 일상으로 돌아가고 싶은데… 낫질 않으니 너무 초조합니다.
초조,그래도 조마조마할 때가 있긴 해…
초조,마음만 초조하고 되는 게 하나도 없네.
초조,생각처럼 안 되면 초조해지고.
초조,사회에 나오기 전에 마지막 기회인 것 같거든요.
초조,뭔가 시간을 버리고 있단 생각이 들어서 막 초조해져.
불면,몇 년 전부터 깊은 잠은 못 자고 있어.
불면,중간에 자주 깨긴 했지만 잠을 잘 수는 있었거든.
불면,원래 불면증이 있긴 했어. 
불면,평소에도 밤에 푹 자지는 못했어.
불면,신경 쓰이는 일 있으면 밤새 잠을 못 이뤄요.
불면,약 먹기 전에도 그렇게 오래 자는 편은 아니었어요. 
불면,원래 잠이 많은 스타일은 아니야.
불면,잠을 잘 못 자요. 어릴 때 부터 자장가를 한참 들어야 잠을 잘 수 있었어요.
불면,매일 수면을 도와주는 어플을 켜두고 자요. 금방 잠들진 못해도 그나마 좀 나아요.
불면,잠을 잘 자는 사람이 제일 부러워요. 평생 이렇게 잠 때문에 고생이라… 삶의 질이 너무 떨어진 것 같아요.
불면,"원래 잠이 많은 편이 아니고, 잠 때문에 힘든 건 없어."
불면,조금만 불편해도 잠을 못 자는 편이야.
불안,자기 전에 꼭 화장실을 가야 마음이 편해요. 그냥 자면 자다가 소변을 지릴 것 같은 생각이 자꾸 들어서 불안해요.
불안,소변 보고 다시 잠들 때
불안,아니면 꼭 잘 때 오줌을 쌀 거 같은 기분이 들거든요.
불안,배와 심장 전체가 조여오면서 화장실에 가고 싶어져요.
불안,시간이 지체되면 화장실에 또 가고 싶어져요.
불안,시간이 지나면 다시 화장실에 갔다 와야 마음이 놓여요.
불안,잠들기 전에 화장실을 안 가면 자는 도중 소변을 눌 것 같아서 꼭 화장실에 갔어.
불안,화장실 다녀와서 바로 잠에 들지 못하면 다시 또 화장실을 가야 해요.
우울,"작년에 우울한 기분이 없어지지 않고, 쭉 지속된다는 걸 느끼고 이게 우울증인가 싶었어."
우울,이게 우울증인가?
우울,작년부터 우울증 증세가 있었어요.
우울,아무래도 우울증이 생긴 거 같아.
우울,공황증은 좀 괜찮아진 거 같은데 우울증이 생긴 거 같아.
우울,근데 저는 그렇게 생각하지 않아요. 차라리 우울증에 가깝죠.
우울,작년 5월 처음 우울감을 느꼈어요. 이런게 우울증인가 싶더라고요.
집중력저하,"잠도 못 자고 날밤 샐 때가 많고, 몇 분 전 있었던 일도 까먹고, 일에 집중할 수가 없더라고요."
집중력저하,금방 있었던 일도 아득하게 멀게 느껴져. 피부에 딱 안 와 닿는다고 해야 될까?
집중력저하,"기억력도 안 좋아진 것 같고, 어디 한 군데 집중하기가 힘들어요."
집중력저하,기억력도 떨어지고 집중력도 떨어져요.
집중력저하,건망증도 심하고 집중력이 떨어지는 것 같아요. 
불면,"요즘에 불면증이 좀 심해졌는데, 수면을 충분하게 취하지 못하니까 심장이 불쾌하게 두근거려."
불면,"몸은 진짜 피곤한데, 잠이 안와요. 누우면 계속 뒤척이고, 심장이 두근두근거려요."
불면,"어제는 잠이 안 오니까 심장이 두근거리고, 심장이 두근거리니까 못 잤어."
불면,심장 뛰는 소리가 거의 귀에까지 들리는 거 같아서… 못 자요.
불면,저녁엔 두통이 심해서 못 자.
불면,새벽까지 두통 때문에 뒤척이다가 해가 뜨면 지쳐서 잠들어.
불면,"아티반을 처방받았는데, 머리가 아프고 술 마신 것처럼 몽롱하고, 잠도 2시간 밖에 못 잤어."
불면,머리가 너무 무겁고 아픈데… 잠도 안 오고 큰일이야.
불면,다리가 붓는 건 괜찮았는데 잠을 못자니까 두통이 오더라고요.
피로,"회사에서 야근을 많이 하는 것도 아닌데, 난 왜 이렇게 피곤할까? "
피로,잠을 많이 자면 많이 잔 대로 피곤하고… 적게 자면 적게 자는 대로 피곤해요.
피로,"조금만 움직여도 피로가 금방 느껴지니까, 생활 반경이 작아지는 게 느껴져요."
피로,점점 집에만 있게 되고… 낮잠도 엄청 많이 자거든요. 그러다 보니까 또 더 피곤해지고… 악순환이에요.
피로,근데 뭘 하고 싶어도 몸이 안 따라주니까… 사람 환장하죠.
피로,하루종일 엄청 피곤해요.
피로,만성피로로 아무것도 할 수 없어서 가정의학과에 진료를 보러 갔었어.
피로,그리고 그렇게 힘든 스케쥴도 아닌데 항상 너무 피곤해요.
피로,그래서 하루종일 피곤한 것 같아.
무기력,살 이유가 없어. 
무기력,남들하고 다 똑같이 살아서 뭘 하나 싶어. 
무기력,사는 게 의미가 없어.
무기력,아무것도 못 하겠어.
무기력,하기 싫은 건 그냥 안 했어요. 
무기력, 스스로가 나무 토막 같아요.
무기력,좋아하던 것도 하기 싫어요. 
무기력,"영화 OST 듣는 거 정말 좋아했는데, 요즘은 그거 찾아 듣기가 너무 귀찮은 거예요."
무기력,충격을 많이 받았던 것 같아. 손가락 까딱할 기운도 없더라고.
무기력,사는 게 재미가 없어. 벌써 두 달 쯤 된 거 같아.
무기력,만사가 다 성가셔요.
무기력,손가락 하나 까닥하기 싫더라고요.
무기력,그런데 다른 뭔가를 할 기력이 안 나. 
무기력,그렇다고 집에 있으면서 다른 뭔가를 하지도 않아.
무기력,저녁에 놔둔 설거지도 하기 싫고… 다 귀찮아요.
무기력,사는게 지긋지긋해. 
무기력,살맛이 안 나요.
무기력,인생이 재미가 없어. 
무기력,힘도 없고 피곤하고… 인생이 지루해진 느낌이야.
무기력,그냥 누워서 잠만 자고 싶네요.
무기력,왜 사는지 모르겠어요.
무기력,"근데 난 이상하게 재미가 없고, 뭐든게 다 귀찮지?"
무기력,이대로 일하면서 사는 게 참 뭔가 재미도 없는 것 같고...
무기력,그렇다고 다른 일을 해보자고 생각해도 특별히 하고 싶은 것도 없고 그래.
무기력,"처음엔 남편이 보고 싶고, 애틋했는데, 시간 지나니까 무뎌지는 것 같아."
무기력,"이제 생활비도 점점 떨어져가고, 집에 올라가야 할 텐데… 모든 게 다 귀찮아요."
무기력,그래서 요즘은 다 싫고 다 재미도 없어.
무기력,그냥 하루 하루 희망이 없어.
무기력,잠깐 그럴 줄 알았는데 계속 무기력하더라구요. 너무 귀찮아졌어요.
무기력,수업 들으러 가기도 싫고 그냥 계속 무기력해요.
무기력,얼른 다시 시작해야 한다는 거 아는데 아무 것도 하기 싫었어.
무기력,근데 대학은 가야 하니까 공부는 하는데 다 하기 싫어요.
무기력,스스로가 나무 토막 같아요.
무기력,기력이 없어요….
무기력,아무것도 하기 싫어서 죽겠어요.
무기력,그냥 다 관두고 싶어.
무기력,하루종일 TV나 쳐다보고 있어요.
무기력,하루종일 누워서 보내는 거 같아요.
무기력,병적인 귀찮음이 생겼어요.
무기력,나도 이 게으름에서 벗어나는 게 좋겠다는 생각을 종종 해.
무기력,"그런데 내가 게으르게 행동을 하고 싶어서 하는 게 아니라, 습관처럼 굳어져버린 거 같아."
무기력,그냥 늘어져있는 게 좋아.
무기력,근데 너무 귀찮다…
무기력,아프니까 움직이기도 싫고… 죽을 거 같아.
무기력,에너지가 전혀 없는데 어떻게 해야 좋을지 모르겠어요.
무기력,TV 보는 것도 귀찮아요.
무기력,침대에 거의 하루종일 있는 거 같아요…
무기력,"처음에는 책도 많이 읽었는데, 요즘은 그런 걸 읽을 기운도 하나도 없고… 누워 있다가 하루가 다 가요."
무기력,나도 이러고 싶지 않은데… 에너지가 하나도 없으니까 뭘 할 수가 없어요.
무기력,누가 나를 이 무기력함에서 건져줬으면 좋겠어.
무기력,너무 기운이 없다…
무기력,좀 누워 있어야 할 것 같아…
무기력,밥도 먹기 싫고… 아무것도 하기 싫어요.
무기력,그냥 누워있고만 싶어요.
무기력,아무것도 하기가 싫어요. 숨 쉬는 것도 다 귀찮은 느낌이에요.
무기력,제가 할 수 있는 일이 없는 것 같아요.
무기력,아무것도 안 하는데 더 아무것도 하기 싫어.
무기력,손가락 하나 까닥하기도 싫다.
무기력,한 두 달 전부터 뭘 해도 재미가 없는 거야. 다 하기가 싫고.
무기력,요즘 내가 왜 살고 있는 건 지도 모르겠어.
무기력,그 정도로 요즘 삶이 재미가 없어.
무기력,이러니까 그냥 아무 것도 하기 싫고 모든 게 다 귀찮아.
무기력,아무것도 안 하고 계속 잠만 자고 싶어.
무기력,아무것도 안 하고 살면 천국일 것 같아.
무기력,꼭 뭘 해야 해야만 해? 아무것도 안 하고 살 수도 있잖아.
무기력,아무것도 안 하고 싶어.
무기력,"모르겠어, 뭔가를 더 하고 싶지도 않고 원하고 싶지도 않아."
무기력,일하기도 싫어지고.
무기력,생활을 하는데 힘이 없어요. 일을 해야 하는데 에너지도 없고 매일 한숨만 나오고..
무기력,그래서 집에 있을 때는 거의 누워있어요.
무기력,그친구가 너무 보고 싶은데 원하면 안되니까 당분간은 아무것도 안 하고 싶어요.
무기력,직장에 있을 때는 할 일이라도 있지만 퇴근 후에는 다른 약속이 없어서 더 처지는 것 같아요.
무기력,그러고 나니까 진짜 모든 일이 다 하기 싫어지더라구요.
무기력,근데 어떡해요. 진짜 몸 자체가 안 움직여요.
무기력,지난 번에는 일어날 기력도 없어서 거의 기어서 화장실로 갔어요.
무기력,딱히 잘 되진 않고 오히려 더 기운만 빠지는 것 같아요. 아무 것도 못 하겠어요.
무기력,근데 그거랑은 별개로 저 자체가 되게 무기력해졌어요.
무기력,이런 저런 나쁜 소식들이 몰려오니까 아무것도 못하겠고 못움직이겠어요.
무기력,손가락 까딱하기도 싫어요.
무기력,방학 되면 그냥 집에 있었어요. 아무것도 안 하고… 
무기력,아무 것도 하기 싫어서 종강하자마자 집에만 틀어박혀 있고…
무기력,하루를 대부분 누워서 흘려 보내는 거 같아요.
무기력,나가는 게 귀찮아요.
무기력,다 귀찮아서 집 밖으로 못 나가겠어요.
무기력,기운도 하나도 없고 하고 싶은 일도 없고. 그냥 무슨 욕구 같은 게 없고…
무기력,1월부터 에너지가 없어서 아무것도 하기 싫어. 의욕이 안 생겨.
무기력,"뭘 하고 싶은 의지가 없고, 기운도 없어요. "
무기력,"임용 안 붙으면 취업해야 하는데, 하고 싶은 것도 없고… 다 귀찮고, 잠만 자고 싶어."
무기력,손 끝하나 움직이기 싫을 정도로 몸이 축축 처지고 하고 싶은 게 없어.
무기력,계속 이런 생각만 드니까 모든 일이 다 하기 싫은 거예요.
무기력,아무 것도 하기 싫고… 뭘 할 생각도 안 들고…
무기력,무기력하고 의욕도 안 생겨요.
무기력,그러니까 하루종일 기운이 없어서 아무 일도 못 하고…
무기력,그러니까 하루종일 기운이 없어서 아무 일도 못 하고…
